raw_product,proposed_category,matched_rules,proposed_is_medicine,forecast_eligible,mapping_status,review_notes,row_count,accepted_rows,estimated_contract_rows,quantity,total_trade_price,net_cost,net_income,first_sale_date,last_sale_date,years_seen,sample_areas
INK EPSON #003 YELLOW,printer_it_supplies,printer_it_supplies,false,false,needs_review,Likely non-pharmaceutical/non-medical-sales item by product-name keyword. Confirm with product master before exclusion.,51,51,46,74.4536,1383663.61,1237052.3,136585.9,2023-01-21,2025-12-31,2023;2024;2025,Government;PESO;PHO;Pagbilao;QMC
BATHROOM TISSUE 2PLY 12'S (FEMME),janitorial_cleaning,janitorial_cleaning,false,false,needs_review,Likely non-pharmaceutical/non-medical-sales item by product-name keyword. Confirm with product master before exclusion.,51,51,30,114.7712,1192403.29,1344369.68,819281.55,2023-06-27,2025-12-31,2023;2024;2025,Aboitiz;Government;Hospital;Padre Burgos;Pagbilao;Provincial Tourism Office;Tourism
BOND PAPER A4 (HARDCOPY),office_stationery,office_stationery,false,false,needs_review,Likely non-pharmaceutical/non-medical-sales item by product-name keyword. Confirm with product master before exclusion.,37,37,34,63.0641,1139401.58,972273.06,678882.29,2023-10-07,2025-12-31,2023;2024;2025,Government;PESO;PPDC;Pagbilao;Provincial Tourism Office;Tourism
INK EPSON #003 CYAN,printer_it_supplies,printer_it_supplies,false,false,needs_review,Likely non-pharmaceutical/non-medical-sales item by product-name keyword. Confirm with product master before exclusion.,47,47,42,73.6089,1066946.49,1913400.12,877262.21,2023-01-21,2025-12-27,2023;2024;2025,Government;PPDC;PPOC;Padre Burgos;Pagbilao;Provincial Tourism Office;QMC;Tourism
FOLDER ORDINARY WHITE LONG 100'S,office_stationery,office_stationery,false,false,needs_review,Likely non-pharmaceutical/non-medical-sales item by product-name keyword. Confirm with product master before exclusion.,31,31,28,9.0864,999540.71,1300056.65,487943.71,2023-12-18,2025-12-31,2023;2024;2025,Government;PESO;PHO;Pagbilao;Provincial Tourism Office
AIRCON SPLIT TYPE 2HP INVERTER (CARRIER),equipment_appliance,equipment_appliance,false,false,needs_review,Likely non-pharmaceutical/non-medical-sales item by product-name keyword. Confirm with product master before exclusion.,19,19,18,6.9464,976482.42,1437121.54,574553.0,2024-07-26,2025-12-27,2024;2025,Government;PESO;PPDC;PPOC;Pagbilao
RECORD BOOK 300PP,office_stationery,office_stationery,false,false,needs_review,Likely non-pharmaceutical/non-medical-sales item by product-name keyword. Confirm with product master before exclusion.,12,12,8,120.9727,728209.25,1839139.47,1110930.22,2023-01-21,2025-11-29,2023;2025,Government;PESO;Pagbilao
BOND PAPER LONG (HARDCOPY),office_stationery,office_stationery,false,false,needs_review,Likely non-pharmaceutical/non-medical-sales item by product-name keyword. Confirm with product master before exclusion.,53,53,49,40.0606,568875.65,1018747.99,502252.02,2023-04-07,2025-12-27,2023;2024;2025,Government;Pagbilao;Tourism
REFRIGERATOR 22CU.FT TWO DOOR UPRIGHT CHILLER (FUJIDENZO),equipment_appliance,equipment_appliance,false,false,needs_review,Likely non-pharmaceutical/non-medical-sales item by product-name keyword. Confirm with product master before exclusion.,13,13,12,2.9376,556783.29,802369.0,295253.69,2024-08-16,2025-11-29,2024;2025,Government;PESO;Pagbilao;Tourism
MASKING TAPE 1INCH,office_stationery,office_stationery,false,false,needs_review,Likely non-pharmaceutical/non-medical-sales item by product-name keyword. Confirm with product master before exclusion.,36,36,31,89.7543,524233.19,838174.63,343951.74,2023-01-21,2025-12-31,2023;2024;2025,Government;Padre Burgos;Pagbilao;Tourism
SCOTCH TAPE 1'',office_stationery,office_stationery,false,false,needs_review,Likely non-pharmaceutical/non-medical-sales item by product-name keyword. Confirm with product master before exclusion.,20,20,18,22.6048,500230.73,1033703.73,533473.02,2024-04-03,2025-12-27,2024;2025,Government;PHO;PPDC;Pagbilao;QMC
"SAMSUNG UHD 50"" TV",equipment_appliance,equipment_appliance,false,false,needs_review,Likely non-pharmaceutical/non-medical-sales item by product-name keyword. Confirm with product master before exclusion.,1,1,0,17.0,459000.0,915025.0,456025.0,2021-08-31,2021-08-31,2021,Government
LETTER ENVELOPE LONG,office_stationery,office_stationery,false,false,needs_review,Likely non-pharmaceutical/non-medical-sales item by product-name keyword. Confirm with product master before exclusion.,16,16,12,403.6419,372506.85,544276.3,171769.45,2023-01-21,2025-12-04,2023;2025,Government;PESO;Pagbilao;Tourism
RAINCOAT WITH PRINT,clothing_personal,clothing_personal,false,false,needs_review,Likely non-pharmaceutical/non-medical-sales item by product-name keyword. Confirm with product master before exclusion.,1,1,0,1000.0,350000.0,1469632.5,1119632.5,2021-06-21,2021-06-21,2021,Government
HBW MARKER,office_stationery,office_stationery,false,false,needs_review,Likely non-pharmaceutical/non-medical-sales item by product-name keyword. Confirm with product master before exclusion.,13,13,10,41.2102,321152.12,206310.49,-114841.62,2023-01-21,2025-11-29,2023;2025,Government;Pagbilao
FLASH DRIVE 16GB CAPACITY 1 PIECE INVIDUAL BLISTER PACK KINGSTON,printer_it_supplies,printer_it_supplies,false,false,needs_review,Likely non-pharmaceutical/non-medical-sales item by product-name keyword. Confirm with product master before exclusion.,11,11,8,14.9668,283311.19,415668.65,132357.46,2023-05-19,2025-12-04,2023;2025,Government;Pagbilao;Tourism
ELECTRICAL WIRE #14,electrical_hardware,electrical_hardware,false,false,needs_review,Likely non-pharmaceutical/non-medical-sales item by product-name keyword. Confirm with product master before exclusion.,24,24,22,53.6209,280729.15,318056.35,176264.61,2024-04-03,2025-12-31,2024;2025,Government;PPDC;Pagbilao;Tourism
IM70 PATIENT MONITOR W/ CAPNOGRAPH,printer_it_supplies,printer_it_supplies,false,false,needs_review,Likely non-pharmaceutical/non-medical-sales item by product-name keyword. Confirm with product master before exclusion.,1,1,0,1.0,280000.0,450000.0,170000.0,2021-01-18,2021-01-18,2021,Equipment
MARKER BLACK (PILOT),office_stationery,office_stationery,false,false,needs_review,Likely non-pharmaceutical/non-medical-sales item by product-name keyword. Confirm with product master before exclusion.,26,26,23,36.7316,245932.01,385931.54,239077.7,2023-11-20,2025-12-31,2023;2024;2025,Aboitiz;Government;PPDC;Pagbilao;Tourism
INK CARTRIDGE TRI COLOR (HP680),printer_it_supplies,printer_it_supplies,false,false,needs_review,Likely non-pharmaceutical/non-medical-sales item by product-name keyword. Confirm with product master before exclusion.,31,31,28,21.5503,223046.63,394053.59,260945.53,2023-04-07,2025-12-31,2023;2024;2025,Government;PESO;PESO Provincial;PPDC;Pagbilao;Tourism
STAPLER STANDARD TYPE (JOY),office_stationery,office_stationery,false,false,needs_review,Likely non-pharmaceutical/non-medical-sales item by product-name keyword. Confirm with product master before exclusion.,19,19,16,12.0113,194334.77,187444.96,79922.9,2023-05-29,2025-12-31,2023;2024;2025,Government;Pagbilao
F6 FETAL MONITOR SINGLE,printer_it_supplies,printer_it_supplies,false,false,needs_review,Likely non-pharmaceutical/non-medical-sales item by product-name keyword. Confirm with product master before exclusion.,1,1,0,1.0,160000.0,390000.0,230000.0,2022-10-12,2022-10-12,2022,Government
NOTEBOOK 50 LEAVES,office_stationery,office_stationery,false,false,needs_review,Likely non-pharmaceutical/non-medical-sales item by product-name keyword. Confirm with product master before exclusion.,13,13,10,391.2028,141067.79,208165.02,67097.26,2023-03-23,2025-12-04,2023;2025,Government;PESO Provincial;Pagbilao;Provincial Tourism Office
AIRCON SPLIT TYPE 2.5HP INVERTER (CARRIER),equipment_appliance,equipment_appliance,false,false,needs_review,Likely non-pharmaceutical/non-medical-sales item by product-name keyword. Confirm with product master before exclusion.,1,1,0,2.0,117996.0,299600.0,181604.0,2024-01-16,2024-01-16,2024,Government
BOND PAPER LEGAL 80GSM (DOUBLE A),office_stationery,office_stationery,false,false,needs_review,Likely non-pharmaceutical/non-medical-sales item by product-name keyword. Confirm with product master before exclusion.,19,19,17,47.1638,101668.5,127934.07,55042.04,2023-11-20,2025-12-31,2023;2024;2025,Government;PPOC;Pagbilao;Tourism
PAPER TOWEL - JADE,office_stationery,office_stationery;janitorial_cleaning,false,false,needs_review,Likely non-pharmaceutical/non-medical-sales item by product-name keyword. Confirm with product master before exclusion.,3,3,0,2100.0,94000.0,200620.0,107520.0,2021-10-31,2023-06-22,2021;2022;2023,Laguna;Marinduque;Quezon
SAMSUNG 2HP INVERTER AIRCON,equipment_appliance,equipment_appliance,false,false,needs_review,Likely non-pharmaceutical/non-medical-sales item by product-name keyword. Confirm with product master before exclusion.,1,1,0,2.0,88990.0,239990.0,151000.0,2022-06-13,2022-06-13,2022,Government
POLO SHIRT BC,clothing_personal,clothing_personal,false,false,needs_review,Likely non-pharmaceutical/non-medical-sales item by product-name keyword. Confirm with product master before exclusion.,1,1,0,444.0,88800.0,199134.0,110334.0,2022-03-12,2022-03-12,2022,Government
THERMAL SCANNER WITH AUTOMATIC ALCOHOL DISPENSER,janitorial_cleaning,janitorial_cleaning,false,false,needs_review,Likely non-pharmaceutical/non-medical-sales item by product-name keyword. Confirm with product master before exclusion.,3,3,2,2.322,80739.77,112893.89,32154.13,2022-02-21,2025-09-20,2022;2025,Marinduque
STEEL FILING CABINET - PO G2680,equipment_appliance,equipment_appliance,false,false,needs_review,Likely non-pharmaceutical/non-medical-sales item by product-name keyword. Confirm with product master before exclusion.,1,1,0,10.0,79990.0,148750.0,68760.0,2021-08-31,2021-08-31,2021,Government
COMPUTER SET,printer_it_supplies,printer_it_supplies,false,false,needs_review,Likely non-pharmaceutical/non-medical-sales item by product-name keyword. Confirm with product master before exclusion.,1,1,0,2.0,68650.0,159000.0,90350.0,2022-10-22,2022-10-22,2022,Government
PLASTIC CHAIR - PO G2680,equipment_appliance,equipment_appliance,false,false,needs_review,Likely non-pharmaceutical/non-medical-sales item by product-name keyword. Confirm with product master before exclusion.,2,2,0,170.0,67150.0,97050.0,29900.0,2022-06-13,2022-12-11,2022,Government
DISINFECTANT SPRAY 170G 227ML (LYSOL),janitorial_cleaning,janitorial_cleaning,false,false,needs_review,Likely non-pharmaceutical/non-medical-sales item by product-name keyword. Confirm with product master before exclusion.,9,9,6,4.755,59921.5,56863.73,42377.72,2023-06-27,2024-07-31,2023;2024,Government;Pagbilao
THERMAL PAPER,office_stationery,office_stationery,false,false,needs_review,Likely non-pharmaceutical/non-medical-sales item by product-name keyword. Confirm with product master before exclusion.,3,3,0,14.0,56500.0,69400.0,23700.0,2021-11-29,2022-10-12,2021;2022,Government;Supplies
UV LIGHT GERMICIDAL BULB T530WG13UV LANDLITE,electrical_hardware,electrical_hardware,false,false,needs_review,Likely non-pharmaceutical/non-medical-sales item by product-name keyword. Confirm with product master before exclusion.,10,10,0,56.0,55986.0,218683.53,162697.53,2021-01-14,2022-11-04,2021;2022,Equipment;Government;Supplies
REPAIR FOR IM70 MONITOR,printer_it_supplies,printer_it_supplies,false,false,needs_review,Likely non-pharmaceutical/non-medical-sales item by product-name keyword. Confirm with product master before exclusion.,1,1,0,1.0,49900.0,64000.0,14100.0,2025-12-04,2025-12-04,2025,Hospital
TRASH BAG LARGE TRANSPARENT,janitorial_cleaning,janitorial_cleaning,false,false,needs_review,Likely non-pharmaceutical/non-medical-sales item by product-name keyword. Confirm with product master before exclusion.,3,3,1,30.1975,47624.03,89083.42,44759.39,2022-10-09,2025-06-28,2022;2023;2025,Marinduque;Quezon
"LAPTOP TMP2 214-530-554U 1, FDH (1920X1080)-ACER",printer_it_supplies,printer_it_supplies,false,false,needs_review,Likely non-pharmaceutical/non-medical-sales item by product-name keyword. Confirm with product master before exclusion.,1,1,0,1.0,43500.0,65800.0,22300.0,2023-05-15,2023-05-15,2023,Government
CM SERIES FLUORESCENCE ANALYSIS VIEWING CABINET,equipment_appliance,equipment_appliance,false,false,needs_review,Likely non-pharmaceutical/non-medical-sales item by product-name keyword. Confirm with product master before exclusion.,1,1,0,1.0,41800.0,40500.0,-1300.0,2025-12-04,2025-12-04,2025,Hospital
EPSON PRINTER L3210,printer_it_supplies,printer_it_supplies,false,false,needs_review,Likely non-pharmaceutical/non-medical-sales item by product-name keyword. Confirm with product master before exclusion.,2,2,0,4.0,37580.0,26610.02,24210.02,2021-08-31,2022-10-22,2021;2022,Government
AIRCON SPLIT TYPE 1.5HP INVERTER (LG),equipment_appliance,equipment_appliance,false,false,needs_review,Likely non-pharmaceutical/non-medical-sales item by product-name keyword. Confirm with product master before exclusion.,1,1,0,1.0,36998.0,59900.0,22902.0,2024-03-15,2024-03-15,2024,Government
COFFEE GREAT TASTE PREMIUM 25G,food_admin_other,food_admin_other,false,false,needs_review,Likely non-pharmaceutical/non-medical-sales item by product-name keyword. Confirm with product master before exclusion.,1,1,0,2000.0,34000.0,43700.0,9700.0,2021-08-02,2021-08-02,2021,Government
"T-SHIRT ORDINARY (S,M,L,XL,2XL)",clothing_personal,clothing_personal,false,false,needs_review,Likely non-pharmaceutical/non-medical-sales item by product-name keyword. Confirm with product master before exclusion.,1,1,0,150.0,33000.0,52350.0,19350.0,2023-01-06,2023-01-06,2023,Government
ZONROX ORIGINAL 1/2 GALON,janitorial_cleaning,janitorial_cleaning,false,false,needs_review,Likely non-pharmaceutical/non-medical-sales item by product-name keyword. Confirm with product master before exclusion.,1,1,0,460.0,32034.4,50600.0,18565.6,2021-10-31,2021-10-31,2021,Laguna
FOLDER 14PTS SHORT,office_stationery,office_stationery,false,false,needs_review,Likely non-pharmaceutical/non-medical-sales item by product-name keyword. Confirm with product master before exclusion.,11,11,7,5.9017,31918.46,77193.02,45274.55,2023-01-21,2025-11-29,2023;2025,Government;Pagbilao;Tourism
PAPER TOWEL 175PULL-UPS (FEMME),office_stationery,office_stationery;janitorial_cleaning,false,false,needs_review,Likely non-pharmaceutical/non-medical-sales item by product-name keyword. Confirm with product master before exclusion.,15,15,0,550.0,29180.0,45995.0,16815.0,2023-11-20,2025-12-04,2023;2024;2025,Government;Hospital
T-SHIRT BC,clothing_personal,clothing_personal,false,false,needs_review,Likely non-pharmaceutical/non-medical-sales item by product-name keyword. Confirm with product master before exclusion.,1,1,0,201.0,29145.0,69948.0,40803.0,2022-03-12,2022-03-12,2022,Government
ZONROX COLOR SAFE 900ML,janitorial_cleaning,janitorial_cleaning,false,false,needs_review,Likely non-pharmaceutical/non-medical-sales item by product-name keyword. Confirm with product master before exclusion.,3,3,0,473.0,27546.95,52738.0,25191.05,2021-10-31,2023-04-27,2021;2022;2023,Government;Laguna
UMBRELLA,clothing_personal,clothing_personal,false,false,needs_review,Likely non-pharmaceutical/non-medical-sales item by product-name keyword. Confirm with product master before exclusion.,1,1,0,222.0,26640.0,99012.0,72372.0,2022-03-12,2022-03-12,2022,Government
EDAN IM8B PATIENT MONITOR REPAIR,printer_it_supplies,printer_it_supplies,false,false,needs_review,Likely non-pharmaceutical/non-medical-sales item by product-name keyword. Confirm with product master before exclusion.,1,1,0,2.0,26500.0,30000.0,3500.0,2023-05-27,2023-05-27,2023,Equipment
DISPOSABLE DIAPER ADULT PANTS LARGE (SURE-GUARD),clothing_personal,clothing_personal,false,false,needs_review,Likely non-pharmaceutical/non-medical-sales item by product-name keyword. Confirm with product master before exclusion.,1,1,0,120.0,26400.0,27960.0,1560.0,2023-08-08,2023-08-08,2023,Government
"MEDICINE CABINET, DOUBLE DOOR ,GLASS SLIDE,2 DRAWER,3 GLASS SHELVES,2 COMPARTMENT",equipment_appliance,equipment_appliance,false,false,needs_review,Likely non-pharmaceutical/non-medical-sales item by product-name keyword. Confirm with product master before exclusion.,1,1,0,1.0,25000.0,25860.0,860.0,2023-11-20,2023-11-20,2023,Government
COPY PRINTER INK GESTERNER CP17,printer_it_supplies,printer_it_supplies,false,false,needs_review,Likely non-pharmaceutical/non-medical-sales item by product-name keyword. Confirm with product master before exclusion.,2,2,0,4.0,24335.36,29860.0,5524.64,2023-01-21,2023-06-23,2023,Government
PURIFIED WATER (DISTILLED WATER),food_admin_other,food_admin_other,false,false,needs_review,Likely non-pharmaceutical/non-medical-sales item by product-name keyword. Confirm with product master before exclusion.,1,1,0,192.0,23040.0,0.0,23040.0,2023-06-22,2023-06-22,2023,Quezon
"AUTOCLAVE TAPE 3/4""",office_stationery,office_stationery,false,false,needs_review,Likely non-pharmaceutical/non-medical-sales item by product-name keyword. Confirm with product master before exclusion.,5,5,0,123.0,22540.0,113600.0,91060.0,2021-01-18,2023-05-31,2021;2022;2023,Government
DISPOSABLE DIAPER ADULT PANTS MEDIUM (SURE-GUARD),clothing_personal,clothing_personal,false,false,needs_review,Likely non-pharmaceutical/non-medical-sales item by product-name keyword. Confirm with product master before exclusion.,1,1,0,120.0,22200.0,23040.0,840.0,2023-08-08,2023-08-08,2023,Government
MINERAL WATER 330ML (NATURE SPRING),food_admin_other,food_admin_other,false,false,needs_review,Likely non-pharmaceutical/non-medical-sales item by product-name keyword. Confirm with product master before exclusion.,1,1,0,2174.0,21740.0,32066.5,10326.5,2024-10-06,2024-10-06,2024,Hospital
PLASTIC TABLE FOLDED,equipment_appliance,equipment_appliance,false,false,needs_review,Likely non-pharmaceutical/non-medical-sales item by product-name keyword. Confirm with product master before exclusion.,2,2,0,12.0,21600.0,76930.0,55330.0,2022-06-13,2022-12-11,2022,Government
AUTOCLAVE ORMED TAPE 2CM,office_stationery,office_stationery,false,false,needs_review,Likely non-pharmaceutical/non-medical-sales item by product-name keyword. Confirm with product master before exclusion.,1,1,0,100.0,21000.0,36000.0,15000.0,2021-01-07,2021-01-07,2021,Equipment
CANON PRINTER,printer_it_supplies,printer_it_supplies,false,false,needs_review,Likely non-pharmaceutical/non-medical-sales item by product-name keyword. Confirm with product master before exclusion.,1,1,0,3.0,20985.0,44985.0,24000.0,2022-06-13,2022-06-13,2022,Government
PAPER MULTI PURPOSE (COPY) LEGAL 70GSM HARDCOPY,office_stationery,office_stationery,false,false,needs_review,Likely non-pharmaceutical/non-medical-sales item by product-name keyword. Confirm with product master before exclusion.,1,1,0,100.0,18900.0,23100.0,4200.0,2023-05-29,2023-05-29,2023,Government
BATTERY AA,electrical_hardware,electrical_hardware,false,false,needs_review,Likely non-pharmaceutical/non-medical-sales item by product-name keyword. Confirm with product master before exclusion.,5,5,1,181.1485,18090.41,29690.21,11599.8,2023-05-23,2025-09-20,2023;2024;2025,Government;Pagbilao
GANG CHAIR 5 SEATER,equipment_appliance,equipment_appliance,false,false,needs_review,Likely non-pharmaceutical/non-medical-sales item by product-name keyword. Confirm with product master before exclusion.,1,1,0,2.0,17000.0,50000.0,33000.0,2022-10-01,2022-10-01,2022,Government
REFRIGERATOR THERMOMETER,equipment_appliance,equipment_appliance,false,false,needs_review,Likely non-pharmaceutical/non-medical-sales item by product-name keyword. Confirm with product master before exclusion.,2,2,0,68.0,17000.0,27516.5,10516.5,2021-11-29,2022-02-21,2021;2022,Government;Marinduque
PAPER MULTI PURPOSE (COPY) A4 70GSM HARDCOPY,office_stationery,office_stationery,false,false,needs_review,Likely non-pharmaceutical/non-medical-sales item by product-name keyword. Confirm with product master before exclusion.,1,1,0,100.0,16900.0,27000.0,10100.0,2023-05-29,2023-05-29,2023,Government
COMPUTER INK #664 EPSON,printer_it_supplies,printer_it_supplies,false,false,needs_review,Likely non-pharmaceutical/non-medical-sales item by product-name keyword. Confirm with product master before exclusion.,3,3,0,64.0,16832.0,29990.0,13158.0,2023-01-21,2023-06-23,2023,Government
TONER SHARP AR 5618,printer_it_supplies,printer_it_supplies,false,false,needs_review,Likely non-pharmaceutical/non-medical-sales item by product-name keyword. Confirm with product master before exclusion.,2,2,0,2.0,16230.0,21370.0,5140.0,2023-01-21,2023-06-23,2023,Government
TRASH BAG MEDIUM BLACK,janitorial_cleaning,janitorial_cleaning,false,false,needs_review,Likely non-pharmaceutical/non-medical-sales item by product-name keyword. Confirm with product master before exclusion.,5,5,3,61.3684,16126.06,23343.92,7217.86,2023-11-10,2024-05-07,2023;2024,Government;Pagbilao
ASSESMENT FOR EDAN MONITOR,printer_it_supplies,printer_it_supplies,false,false,needs_review,Likely non-pharmaceutical/non-medical-sales item by product-name keyword. Confirm with product master before exclusion.,1,1,0,1.0,15000.0,18000.0,3000.0,2024-11-29,2024-11-29,2024,Hospital
CONFERENCE CHAIR,equipment_appliance,equipment_appliance,false,false,needs_review,Likely non-pharmaceutical/non-medical-sales item by product-name keyword. Confirm with product master before exclusion.,1,1,0,6.0,15000.0,34710.0,19710.0,2022-06-13,2022-06-13,2022,Government
MOP - ORDINARY,janitorial_cleaning,janitorial_cleaning,false,false,needs_review,Likely non-pharmaceutical/non-medical-sales item by product-name keyword. Confirm with product master before exclusion.,1,1,0,96.0,14880.0,47520.0,32640.0,2021-10-31,2021-10-31,2021,Laguna
CONFERENCE TABLE,equipment_appliance,equipment_appliance,false,false,needs_review,Likely non-pharmaceutical/non-medical-sales item by product-name keyword. Confirm with product master before exclusion.,1,1,0,1.0,14500.0,19195.0,4695.0,2022-06-13,2022-06-13,2022,Government
STERILE WATER FOR INJECTION (EUROMED),food_admin_other,food_admin_other,false,false,needs_review,Likely non-pharmaceutical/non-medical-sales item by product-name keyword. Confirm with product master before exclusion.,2,2,0,320.0,14460.0,15400.0,940.0,2023-08-08,2024-06-14,2023;2024,Government;Hospital
D5 WATER,food_admin_other,food_admin_other,false,false,needs_review,Likely non-pharmaceutical/non-medical-sales item by product-name keyword. Confirm with product master before exclusion.,2,2,0,112.0,13776.0,16352.0,2576.0,2023-04-02,2023-11-02,2023,Government
TRASH BAG XXL TRANSPARENT,janitorial_cleaning,janitorial_cleaning,false,false,needs_review,Likely non-pharmaceutical/non-medical-sales item by product-name keyword. Confirm with product master before exclusion.,1,1,0,25.0,13750.0,24825.0,11075.0,2022-10-09,2022-10-09,2022,Marinduque
TRASH BAG XXL YELLOW,janitorial_cleaning,janitorial_cleaning,false,false,needs_review,Likely non-pharmaceutical/non-medical-sales item by product-name keyword. Confirm with product master before exclusion.,1,1,0,25.0,13750.0,24825.0,11075.0,2022-10-09,2022-10-09,2022,Marinduque
SKIN STAPLER,office_stationery,office_stationery,false,false,needs_review,Likely non-pharmaceutical/non-medical-sales item by product-name keyword. Confirm with product master before exclusion.,4,4,0,29.0,12210.0,20000.0,11110.0,2021-08-23,2023-11-02,2021;2022;2023,Supplies
T SHIRT SUBLI,clothing_personal,clothing_personal,false,false,needs_review,Likely non-pharmaceutical/non-medical-sales item by product-name keyword. Confirm with product master before exclusion.,1,1,0,24.0,12000.0,9216.0,2784.0,2023-08-14,2023-08-14,2023,Government
STEEL CABINET 2 DOOR,equipment_appliance,equipment_appliance,false,false,needs_review,Likely non-pharmaceutical/non-medical-sales item by product-name keyword. Confirm with product master before exclusion.,1,1,0,2.0,11110.0,18500.0,7390.0,2024-04-03,2024-04-03,2024,Government
PAPER MULTICOPY 80GSM 216X330 LONG (HARDCOPY),office_stationery,office_stationery,false,false,needs_review,Likely non-pharmaceutical/non-medical-sales item by product-name keyword. Confirm with product master before exclusion.,1,1,0,50.0,11000.0,16350.0,5350.0,2023-05-29,2023-05-29,2023,Government
BLEACHING LIQUID ORIGINAL 3785ML (ZONROX),janitorial_cleaning,janitorial_cleaning,false,false,needs_review,Likely non-pharmaceutical/non-medical-sales item by product-name keyword. Confirm with product master before exclusion.,4,4,2,5.2192,9960.67,10235.49,1663.53,2023-11-10,2024-07-22,2023;2024,Government;Pagbilao
TRASH BAG - YELLOW - LARGE,janitorial_cleaning,janitorial_cleaning,false,false,needs_review,Likely non-pharmaceutical/non-medical-sales item by product-name keyword. Confirm with product master before exclusion.,3,3,0,30.0,9900.0,20542.0,10642.0,2022-02-21,2022-10-09,2022,Government;Marinduque
PAPER MULTICOPY 80GSM 210X297 A4 (HARDCOPY),office_stationery,office_stationery,false,false,needs_review,Likely non-pharmaceutical/non-medical-sales item by product-name keyword. Confirm with product master before exclusion.,1,1,0,50.0,9800.0,13250.0,3450.0,2023-05-29,2023-05-29,2023,Government
